EAST,TEAM,2014,WEST,TEAM
Kyrie Irving,Cleveland,,Stephen Curry,Golden State
Dwyane Wade,Miami,,Kobe Bryant,LA Lakers
Paul George,Indiana,,Kevin Durant,Oklahoma
Carmelo Anthony,New York,,Blake Griffin,LA Clippers
Lebron James,Miami,,Kevin Love,Minnesota
John Wall,Washington,,Chris Paul,LA Clippers
DeMar DeRozan,Toronto,,James Harden,Houston
Joe Johnson,Brooklyn,,LaMarcus Aldridge,Portland
Chris Bosh,Miami,,Dwight Howard,LA Lakers
Roy Hibbert,Indiana,,Tony Parker,San Antonio
Paul Millsap,Atlanta,,Damian Lillard,Portland
Joakim Noah,Chicago,,Dirk Nowitzki,Dallas
,,,Anthony Davis,New Orleans
,,,,
EAST,TEAM,2013,WEST,TEAM
Rajon Rondo,Boston,,Chris Paul,LA Clippers
Dwyane Wade,Miami,,Kobe Bryant,LA Lakers
Lebron James,Miami,,Kevin Durant,Oklahoma
Carmelo Anthony,New York,,Blake Griffin,LA Clippers
Kevin Garnett,Boston,,Dwight Howard,LA Lakers
Chris Bosh,Miami,,LaMarcus Aldridge,Portland
Tyson Chandler,New York,,Tim Duncan,San Antonio
Luol Deng,Chicago,,James Harden,Houston
Paul George,Indiana,,David Lee,Golden State
Jrue Holiday,Philadelphia,,Tony Parker,San Antonio
Kyrie Irving,Cleveland,,Zach Randolph,Memphis
Joakim Noah,Chicago,,Russell Westbrook,Oklahoma
,,,,
,,,,
EAST,TEAM,2012,WEST,TEAM
Lebron James,Miami,,Kevin Durant,Oklahoma
Carmelo Anthony,New York,,Blake Griffin,LA Clippers
Dwight Howard,Orlando,,Andrew Bynum,LA Lakers
Derrick Rose,Chicago,,Kobe Bryant,LA Lakers
Dwyane Wade,Miami,,Chris Paul,LA Clippers
Chris Bosh,Miami,,Kevin Love,Minnesota
Roy Hibbert,Indiana,,Russell Westbrook,Oklahoma
Paul Pierce,Boston,,Dirk Nowtzki,Dallas
Deron Williams,New Jersey,,Marc Gasol,Memphis
Luol Deng,Chicago,,LaMarcus Aldridge,Portland
Andre Iguodala,Philadelphia,,Tony Parker,San Antonio
Rajon Rondo,Boston,,Steve Nash,Phoenix
Joe Johnson,Atlanta,,,
,,,,
EAST,TEAM,2011,WEST,TEAM
Lebron James,Miami,,Kevin Durant,Oklahoma
Amar'e Stoudemire,New York,,Carmelo Anthony,Denver
Dwight Howard,Orlando,,Yao Ming,Houston
Derrick Rose,Chicago,,Kobe Bryant,LA Lakers
Dwyane Wade,Miami,,Chris Paul,New Orleans
Chris Bosh,Miami,,Pau Gasol,LA Lakers
Ray Allen,Boston,,Russell Westbrook,Oklahoma
Paul Pierce,Boston,,Dirk Nowitzki,Dallas
Rajon Rondo,Boston,,Tim Duncan,San Antonio
Kevin Garnett,Boston,,Manu Ginobili,San Antonio
Al Horford,Atlanta,,Deron Williams,Utah
Joe Johnson,Atlanta,,Blake Griffin,LA Clippers
,,,Kevin Love,Minnesota
,,,,
EAST,TEAM,2010,WEST,TEAM
Lebron James,Cleveland,,Amare Stoudemire,Phoenix
Kevin Garnett,Boston,,Tim Duncan,San Antonio
Dwight Howard,Orlando,,Carmelo Anthony,Denver
Allen Iverson,Philadelphia,,Kobe Bryant,LA Lakers
Dwyane Wade,Miami,,Steve Nash,Phoenix
Joe Johnson,Atlanta,,Pau Gasol,LA Lakers
Derrick Rose,Chicago,,Kevin Durant,Oklahoma
Paul Pierce,Boston,,Dirk Nowitzki,Dallas
Rajon Rondo,Boston,,Brandon Roy,Portland
Gerald Wallace,Charlotte,,Chris Paul,New Orleans
Al Horford,Atlanta,,Deron Williams,Utah
Chris Bosh,Toronto,,Zach Randolph,Memphis
David Lee,New York,,Chauncey Billups,Denver
,,,Chris Kaman,LA Clippers
,,,Jason Kidd,Dallas
,,,,
EAST,TEAM,2009,WEST,TEAM
Lebron James,Cleveland,,Amare Stoudemire,Phoenix
Kevin Garnett,Boston,,Tim Duncan,San Antonio
Dwight Howard,Orlando,,Yao Ming,Houston
Allen Iverson,Detroit,,Kobe Bryant,LA Lakers
Dwyane Wade,Miami,,Chris Paul,New Orleans
Joe Johnson,Atlanta,,Pau Gasol,LA Lakers
Devin Harris,New Jersey,,Shaquille O'Neal,Phoenix
Paul Pierce,Boston,,Dirk Nowitzki,Dallas
Ray Allen,Boston,,Brandon Roy,Portland
Rashard Lewis,Orlando,,Chauncey Billups,Denver
